"Code"	"Desc"
"BA"	"Baptist"
"BD"	"Buddhist faith"
"BH"	"Baha'i faith"
"BR"	"Brethren"
"CH"	"Christian"
"DC"	"Disciple of Christ"
"EO"	"Eastern Orthodox"
"EP"	"Episcopalian"
"FR"	"Friends"
"HD"	"Hindu faith"
"JW"	"Jewish"
"LD"	"Latter-day Saints"
"LU"	"Lutheran"
"ME"	"Methodist"
"MS"	"Muslim faith"
"OT"	"a member of the specified denomination"
"PB"	"Presbyterian"
"PR"	"Protestant"
"PT"	"Pentecostal"
"RC"	"Roman Catholic"
"SD"	"Seventh-Day Adventist"
"UU"	"Unitarian Universalist"
