ID,BATCH,FILL00,COMMENTS,DESC1,DESC2,DESC3,DESC4,CNAME1,CNAME2,FILL01,CADDR,CCITY,CST,CZIP,CZIP2,FILL02,M-STUD1,M-STUD2,M-STUD3,M-STUD4,M-STUD5,M-STUD6,M-STUD7,M-STUD8,M-STUD9,M-STUD10,M-STUD11,M-STUD12,SFUND,FILL03,LOAWDS,HIAWDS,SDONOR,PCTAWD,LOAMNT,HIAMNT,FILL05,APDLMO,APDLDA,FILL06,APPLAPPL,APPLTRAN,APPLAUTO,APPLTEST,APPLINTE,APPLFINE,APPLESSA,APPLREFS,APPLSPEC,APPLCOMC,APPLFEE,CONTNAME,CONTNAM2,CONTNAM3,CONTADDR,CONTCITY,CONTST,CONTZIP1,CONTZIP2,CONTAREA,CONTEXCH,CONTLINE,CONTEXT,PUBFUND1,PUBFUND2,PUBDONR1,PUBDONR2,APPLHS,APPLHSN,FILL07,SCHOL,LOAN,FILL08,RENYES,RENNO,MALE,FEMALE,MAR,SIN,AU17,A18,A1920,A21,A2224,A25,A2630,A3134,A35,UHALF,UTHIRD,UFOURTH,FRESH,SOPH,JUNIOR,SENIOR,GSTU,TWOYR,FOURYR,TRTECH,BLIND,DEAF,PHYS,INDESK,ASIAN,BLACK,HISP,ANYSVC,AF,ARMY,NAVY,MARINES,CG,KD,STUD1,STUD2,STUD3,STUD4,STUD5,STUD6,STUD7,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,REL1,REL2,REL3,ETH1,ETH2,ETH3,ETH4,ETH5,EMP1,EMP2,EMP3,TAL1,TAL2,TAL3,CVC1,CVC2,CVC3,SUP,UPDYR,UPDMO,UPDDA,ANY-YR,PUB,PRIZE,INTERN,HS-YES,HS-NO,SASE,STUD8,STUD9,STUD10,STUD11,STUD12,TAL4,TAL5,CON-NO,FEE-NO,CONTESTN,APPLFEEN,ST11,ST12,ST13,ST14,ST15,CONTFAC,CONTFEX,CONTFLIN,CONTFEXT,SVLOGMO,SVLOGDA,SVLOGYR,SRC1,SRC2,SRC3,SRC4,NUMAWD,TOTALAWD,CORPCD,AIRNG,ARMYNG,NAVYNG,MARINENG,DESC5,LEARN,DONDES1,DONDES2,DONDES3,DONDES4,FEEAMT,AWARD-NON-US,SR-ST1,SR-ST2,SR-ST3,SR-ST4,SR-ST5,SR-ST6,SR-ST7,SR-ST8,SR-ST9,SR-ST10,SR-ST11,SR-ST12,SR-ST13,SR-ST14,SR-ST15,SPONSOR-URL,CONTACT-EMAIL,SRC1-Y,SRC1-N,FT_ONLY,PT_ONLY,FT_PT
149667,,,,"Program established to recognize, encourage and promote",leadership among future wildlife management professionals.,Candidates must be an undergraduate in a recognized wildlife," program, have at least a junior standing (completed a minim",,,,,,,,,,NL,NR,,,,,,,,,,,Wildlife Leadership Awards,,1,5,,,3000,,,3,1,,X,,,,,,,,,,,,,,,,,,,,,,,Wildlife Leadership Awards,,Rocky Mountain Elk Foundation,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,6,18000,,,,,,"um of 56 semester hours or 108 quarter hours), and have at l",,The Rocky Mountain Elk Foundation's mission is to ensure th,"e future of elk, other wildlife, their habitat, and our hun",ting heritage. This mission is accomplished through land pr,"otection, habitat stewardship, elk restoration and outreach",,,,,,,,,,,,,,,,,,www.rmef.org,,,X,X,,
149669,,,,Leadership-based award available to students enrolled i,n an ADAA dental assistant's program. Proof of acceptance in,to ADAA program and two letters of reference are required.,,,,,,,,,,,DH,,,,,,,,,,,,J. A. Southard Scholarship,,1,10,,,1,900,,3,15,,X,,,,,X,X,,,,,,,,,,,,,,,,,Juliette A. Southard Scholarship,,American Dental Assistants Association,,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,LS,,,DA,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,9,900,,,,,,,,"A professional membership association, provides continuing",education to dental assistants through home study courses;,"professional journals; and local, state, and national meeti",ngs with educational agendas.,,,1,,,,,,,,,,,,,,,www.adaausa.org,,,X,,,X
149670,,,,This award is available for undergraduate (must be at l,"east a second semester freshman), graduate, or doctoral stud","y in aerospace, electrical, or mechanical engineering. Appli",cants must demonstrate an interest in vertical flight techno,,,,,,,,,,AV,EL,ER,ET,ME,,,,,,,,VFF Scholarship,,10,19,,,1500,5000,,2,1,,X,X,,,,,X,X,,,,,,,,,,,,,,,,Vertical Flight Foundation Scholarship,,AHS International--The Vertical Flight Technical Society,,,X,,X,,,,X,,,,,,,,,,,,,,,,X,,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AV,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,19,50000,,,,,,logy through contribution to the vertical flight technical c,,"A professional, technical society dedicated to the advancem",ent of vertical flight technology. Members encompass the en,"tire spectrum of the vertical flight industry, including go","vernment, military, civil, engineers, managers, pilots, edu",,,,,,,,,,,,,,,,,,www.vtol.org/,,,X,X,,
149673,,,,"Awarded on the basis of academic excellence, this schol",arship helps finance the educational endeavors of undergradu,ate and graduate students concentrating in real estate appra,"isal, land economics, real estate or allied fields.",,,,,,,,,,RE,,,,,,,,,,,,Appraisal Institute Education Trust Schol.,,,,,,1000,2000,,2,15,,X,X,,,,,X,X,,,,,,,,,,,,,,,,Appraisal Institute Education Trust Education Scholarships,,Appraisal Institute Education Trust,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,5,10000,,,,,,,,"The AIET supports and funds a vast range of initiatives, fr",om world-renowned resources such as the Y.T. and Louise Lee," Lum Library, to programs that will help secure the future","of the valuation industry, including research grants and sc",,,,,,,,,,,,,,,,,,www.aiedtrust.org/,,,X,X,,
149676,,,,Available to enrolled undergraduates who submit a paper,on a phase of atmospheric sciences with a statement from a,supervisor on the student's original contribution to the wor,k. Minimum 3.0 GPA required. No more than two students from,,,,,,,,,,MA,,,,,,,,,,,,Father James B. Macelwane Annual Awards,,1,,,,1000,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,Father James B. Macelwane Annual Awards,,American Meteorological Society,,,X,,,,,,X,,,,,,,,,,,,,,,X,,,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,1000,,,,,,any one institution may enter papers in one contest. Must su,,Nonprofit scientific society that serves the atmospheric an,d related oceanic and hydrologic sciences. It promotes the,development and dissemination of information and education,on the atmospheric and related oceanic and hydrologic scien,,,1,,,,,,,,,,,,,,,www.ametsoc.org/,,,X,X,,
149677,,,,Award for naval engineering students or students in rel,ated disciplines in the final year of an undergraduate progr,am or for one year of graduate study at an accredited instit,ution. Must be full-time student and a U.S. citizen. Award o,,,,,,,,,,AS,AV,CV,EL,EN,ET,ME,MO,MT,PS,NS,,American Society of Naval Engineers Scholarship,,8,14,,,3000,4000,,2,15,,X,,,,,,,,,,,,,,,,,,,,,,,American Society of Naval Engineers Scholarship,,American Society of Naval Engineers,,,X,,X,,,,X,,,,,,,,,,,,,,X,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,16,50000,,,,,,f $3000 for undergraduates and $4000 for graduate students.,,A society serving the naval engineering community by advanc,ing the knowledge and practice of naval engineering in publ,ic and private applications and operations.,,,,1,,,,,,,,,,,,,,,www.navalengineers.org/,,,X,X,,
149680,,,,One-time award for students of Armenian descent. Must b,"e an undergraduate in sophomore, junior, or senior years, or"," graduate student, attending an accredited U.S. institution",". Award based on need, merit, and character. Application fee",,,,,,,,,,,,,,,,,,,,,,Armenian Students Assn. of Amer. Scholarships,,35,,,,3300,6700,,3,15,,X,,,,,X,X,,,,X,,,,,,,,,,,,,Armenian Students Association of America Inc. Scholarships,,Armenian Students Association of America Inc.,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,108000,,,,,,: $15.,,The purposes of this association are educational and charit,"able, in that it shall encourage educational pursuits by Ar",menians in America and the raising of their intellectual st,"andards, provide financial assistance in the form of schola",15,,,,,,,,,,,,,,,,,www.asainc.org/,,,X,X,,
149684,,,,Merit award available to students ages 17 to 22 who are," current members, children, or grandchildren of members of t",he Sons of Norway. School transcript required. Academic pote,ntial and clarity of study plan is key criterion for award.,,,,,,,,,,,,,,,,,,,,,,Astrid G. Cates and Myrtle Beinhauer Scholarship F,,2,7,,,1000,3000,,3,1,,X,X,,X,,,X,X,,,,,,,,,,,,,,,,Astrid G. Cates and Myrtle Beinhauer Scholarship Funds,,Sons of Norway Foundation,,,X,,X,,,,X,,,,,,,,,,,,,,,X,,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MB,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,7,12000,,,,,,Minimum 3.0 GPA required.,,The foundation is a fraternal benefit society with a focus,on preserving and promoting Norwegian culture and heritage.,,,,,,,,,,,,,,,,,,,,www.sonsofnorway.com/foundation,,,X,X,,
149686,,,,Award for undergraduate or graduate study is available,"to dependent children, grandchildren and spouses of legally",blind veterans to include Active Duty legally blinded Armed,Forces members. The veteran's blindness may be either servic,,,,,,,,,,,,,,,,,,,,,,Kathern F. Gruber Scholarship,,6,,,,2000,,,4,21,,X,,,,,,X,,,,,,,,,,,,,,,,,Kathern F. Gruber Scholarship,,Blinded Veterans Association,,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,6,12000,,,,,,e or non-service connected. High school seniors may apply. A,,A nonprofit service organization for blind veterans. The or,ganization explores and identifies veterans needing service,"s, linking them to appropriate benefits, training, and job",opportunities in both the public and private sectors.,,,,,,,,,,,,,,,,,,www.bva.org/,,,X,X,,
149690,,,,Grants are provided to supplement financial assistance,to eligible American Indian/Alaska Native students entering,college seeking a Baccalaureate degree. A student must be a,"member of, or at least one-quarter degree Indian blood desce",,,,,,,,,,,,,,,,,,,,,,Bureau of Indian Education Grant Program,,,,,,,,,V,,,X,X,,X,,,,X,,,,,,,,,,,,,,,,Bureau of Indian Education Grant Program,,Bureau of Indian Affairs Office of Indian Education Programs,,X,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,ndent of a member of an American Indian tribe who are eligib,,Bureau provides supplemental financial assistance to eligib,le American Indian students pursuing an undergraduate degre,es.,,,,,,,,,,,,,,,,,,,www.bie.edu/,,X,,X,,
149692,,,,Competitive award to high school juniors planning caree,rs in any business or professional field of study which requ,ires a four-year college degree. Award is renewable based on,continuing eligibility. All awards are given through local,,,,,,,,,,,,,,,,,,,,,,Executive Women International Scholarship Program,,75,100,,,1000,10000,,,,,X,X,,,X,,X,X,,,,,,,,,,,,,,,,Executive Women International Scholarship Program,,Executive Women International,,X,,,X,,,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,80,,,,,,,Chapters of the EWI. Applicant must apply through nearest Ch,,Organization promotes educational services through scholars,hip and grants.,,,,,,,,,,,,,,,,,,,,www.ewiconnect.com/,,,X,X,,
149693,,,,One-time award for students who are in financial need a,nd have been accepted or are enrolled in an accredited schoo,l of nursing. A letter of acceptance into the nursing progra,m or the transcript stating that the applicant is enrolled i,,,,,,,,,,NU,,,,,,,,,,,,NSDAR Caroline E. Holt Nursing Scholarship,,,,,,,,,2,10,,X,,,,,X,X,,,,,,,,,,,,,,,,,National Society Daughters of the American Revolution Caroline E. Holt Nursing Scholarships,,National Society Daughters of the American Revolution,,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,n the nursing program must be included with the application.,,A lineage society and volunteer women's service organizatio,"n that is dedicated to promoting patriotism, preserving Ame","rican history, and securing America's future through better",education for children. Awards scholarships to students sh,,,,,,,,,,,,,,,,,,www.dar.org/,,,X,X,,
149694,,,,One-time award for active members of the Civil Air Patr,"ol to pursue undergraduate, graduate, or trade or technical",education. Must be a current CAP member. Significant restric,tions apply. Not open to the general public.,,,,,,,,,,,,,,,,,,,,,,Civil Air Patrol Academic Scholarships,,,40,,,1000,7500,,1,31,,X,X,,X,,,X,X,,,,,,,,,,,,,,,,Civil Air Patrol Academic Scholarships,,"Civil Air Patrol, USAF Auxiliary",,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,89,,,,,,,,,Non-combatant Auxiliary of the USAF with three-sided missio,"n: Cadet Programs, Emergency Services, and Aerospace Educat",ion.,,,,,,,,,,,,,,,,,,,www.gocivilairpatrol.com/,,,X,X,,
149695,,,,Annually recognizes five USBC Youth bowlers for their c,ommunity involvement and academic achievements.,,,,,,,,,,,,,,,,,,,,,,,,Earl Anthony Memorial Scholarship,,5,,,,5000,,,12,1,,X,X,,,,,X,X,,X,,,,,,,,,,,,,,USBC Earl Anthony Memorial Scholarship,,International Bowling Campus Youth Development,,X,,,X,,,,X,,,,,,,,,,,,,,,X,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BO,,,YB,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,5,25000,,,,,,,,"The national governing body, ensures the integrity and prot","ects the future of the sport, provides programs and service",s and enhances the bowling experience.,,,,,,,,,,,,,,,,,,,www.bowl.com/,,,X,,,X
149696,,,,Awards available to college seniors enrolled in dairy s,cience courses. Applicants must be nominated by their colleg,e or university professor and must intend to continue in the,dairy field. A college or university may nominate up to 2 a,,,,,,,,,,AB,AG,AN,FS,,,,,,,,,NDS Student Recognition Award,,2,9,,,1000,2000,,4,15,,X,,,,,,,,,,,,,,,,,,,,,,,NDS Student Recognition Award,,National Dairy Shrine,,,X,,X,,,,X,,,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,9,8500,,,,,,pplicants.,,"An organization of dairy producers, processors, scientists,"," students, educators, and others who share a desire to pres","erve dairy history, recognize past & present dairy leaders",and encourage young people to enter the dairy industry and,,,1,,,,,,,,,,,,,,,www.dairyshrine.org/,,,X,X,,
149697,,,,Scholarship of $2000 each year for up to four consecuti,ve years to a graduating high school senior who will have a,concentrated study of a minimum of 24 credit hours in Americ,an history or American government while in college. United S,,,,,,,,,,HS,PO,,,,,,,,,,,Pittenger American History Scholarship,,1,,,,2000,,,2,10,,X,,,,,,X,,,,,,,,,,,,,,,,,National Society Daughters of the American Revolution Dr. Aura-Lee A. Pittenger and James Hobbs Pittenger American History Scholarship,,National Society Daughters of the American Revolution,,X,,,X,,,X,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,tates citizens residing abroad may apply through a Units Ove,,A lineage society and volunteer women's service organizatio,"n that is dedicated to promoting patriotism, preserving Ame","rican history, and securing America's future through better",education for children. Awards scholarships to students sh,,,,,,,,,,,,,,,,,,www.dar.org/,,,X,X,,
149698,,,,Need and merit-based award available to graduating high,school seniors. Minimum GPA of 3.0 required. Must be daught,"er of commissioned officer in regular Army, Navy, Coast Guar","d, Air Force, Marines (active, retired, or deceased). Must s",,,,,,,,,,,,,,,,,,,,,,Daughters of the Cincinnati Scholarship,,4,5,,,3000,5000,,3,15,,X,,,,,X,X,,,,,,,,,,,,,,,,,Daughters of the Cincinnati Scholarship,,Daughters of the Cincinnati,,X,,,X,,,X,,,X,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,4,,,,,,,ubmit parent's rank and branch of service. Application can b,,Organization incorporated in 1894 by women descendants of R,evolutionary officers with one of its purposes &amp;quot;to,advance and encourage investigation and study.&amp;quot; T,o this end a Scholarship Fund was established in 1906.,,,,,,,,,,,,,,,,,,www.daughters1894.org/,,,X,X,,
149700,,,,Scholarship available to current DECA or Collegiate DEC,"A members for undergraduate study in marketing education, ma","rketing, entrepreneurship, finance, hospitality or managemen",t. Nonrenewable merit-based award for current DECA members b,,,,,,,,,,BS,ED,FD,FN,HY,MK,AT,FO,,,,,Applegate Scholarship,,20,25,,,1000,5000,,1,16,,X,X,,X,,,,X,X,,,,,,,,,,,,,,,Harry A. Applegate Scholarship,,DECA (Distributive Education Clubs of America),,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,25,50000,,,,,,"ased on DECA activities, grades, and leadership.",,DECA prepares emerging leaders and entrepreneurs in marketi,"ng, finance, hospitality and management in high schools and",colleges around the globe.,,,,,,,,,,,,,,,,,,,www.deca.org/,,,X,X,,
149704,,,,Merit-based award for high school seniors planning to m,ajor in journalism. Must have won a National Quill and Scrol,l Writing Award or a Photography or Yearbook Excellence cont,est. Entry forms available from journalism adviser or Quill,,,,,,,,,,JO,,,,,,,,,,,,Edward J. Nell Memorial Scholarship in Journalism,,1,6,,,500,1500,,5,10,,X,X,,X,,,X,X,,X,,,,,,,,,,,,,,Edward J. Nell Memorial Scholarship in Journalism,,Quill and Scroll Foundation,,X,,,X,,,,X,,,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PH,WR,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,6,5500,,,,,,and Scroll. Must rank in upper third of class or have a mini,,An honorary society for high school journalists founded in,1926 by George H. Gallup and a group of journalism advisers,. High school students must meet certain qualifications to,be eligible for membership.,,,,,,,,,,,,,,,,,,www.quillandscroll.org,,,X,X,,
149706,,,,Applicant must be a registered nurse having prospects o,f being employed in specific positions in direct relationshi,"p to lung and respiratory control in hospitals, clinics, or",health departments. This scholarship is for advanced prepara,,,,,,,,,,NU,,,,,,,,,,,,Eight & Forty Lung/Respiratory Nursing Schol. Fund,,20,25,,,3000,,,5,15,,X,X,,,,,,X,,,,,,,,,,,,,,,,Eight & Forty Lung and Respiratory Disease Nursing Scholarship Fund,,American Legion Eight and Forty,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,10,30000,,,,,,"tion for positions in supervision, administration, or teachi",,"A patriotic, mutual-help, war-time veterans organization th",at upholds and defends the constitution of the United State,s of America and maintains law and order.,,,,,,,,,,,,,,,,,,,www.legion.org/,,,X,,,X
149707,,,,Scholarship of $1000 awarded to a deserving junior or s,enior enrolled in an accredited college or university in the," United States who is majoring in political science, history",", government, or economics.",,,,,,,,,,EC,HS,PO,,,,,,,,,,NSDAR Enid Hall Griswold Memorial Scholarship,,2,,,,5000,,,2,10,,X,,,,,X,X,,,,,,,,,,,,,,,,,National Society Daughters of the American Revolution Enid Hall Griswold Memorial Scholarship,,National Society Daughters of the American Revolution,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,A lineage society and volunteer women's service organizatio,"n that is dedicated to promoting patriotism, preserving Ame","rican history, and securing America's future through better",education for children. Awards scholarships to students sh,,,,,,,,,,,,,,,,,,www.dar.org/,,,X,X,,
149709,,,,Available to minority students enrolled in nursing or p,"re-nursing programs. Awards based on need, scholarship, and",health-related activities. Application fee of $10. Send self,-addressed stamped envelope with two stamps along with appli,,,,,,,,,,NU,,,,,,,,,,,,Breakthrough to Nursing Scholarships,,,,,,1000,2500,,1,11,,X,X,,,,X,,,,,X,,,,,,,,,,,,,Breakthrough to Nursing Scholarships for Racial/Ethnic Minorities,,Foundation of the National Student Nurses' Association,,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cation request. Number of awards varies based on donors.,,The foundation is organized exclusively for charitable and,educational purposes. Also this foundation awards scholarsh,ips to qualified nursing students.,,10,,,,,,,,,,,,,,,,,www.nsna.org/,,,X,,,X
