ID,DESC,PROGRAM_NAME,DONOR_DESC,DONOR_NAME
149667,"Program established to recognize, encourage and promote leadership among future wildlife management professionals. Candidates must be an undergraduate in a recognized wildlife program, have at least a junior standing (completed a minimum of 56 semester hours or 108 quarter hours), and have at least one semester or two quarters remaining in their degree program.",Wildlife Leadership Awards,"The Rocky Mountain Elk Foundation's mission is to ensure the future of elk, other wildlife, their habitat, and our hunting heritage. This mission is accomplished through land protection, habitat stewardship, elk restoration and outreach programs to help people learn more about hunting heritage and the role hunters play in conserving wildlife and their habitat.",Rocky Mountain Elk Foundation
149669,Leadership-based award available to students enrolled in an ADAA dental assistant's program. Proof of acceptance into ADAA program and two letters of reference are required.,Juliette A. Southard Scholarship,"A professional membership association, provides continuing education to dental assistants through home study courses; professional journals; and local, state, and national meetings with educational agendas.",American Dental Assistants Association
149670,"This award is available for undergraduate (must be at least a second semester freshman), graduate, or doctoral study in aerospace, electrical, or mechanical engineering. Applicants must demonstrate an interest in vertical flight technology through contribution to the vertical flight technical community such as technical papers presented at technical meetings, submission to technical journals, participating in aerospace engineering design competitions, etc. All students must attend for the entire year following acceptance of the scholarship.",Vertical Flight Foundation Scholarship,"A professional, technical society dedicated to the advancement of vertical flight technology. Members encompass the entire spectrum of the vertical flight industry, including government, military, civil, engineers, managers, pilots, educators and students. The Society encompasses all facets of the industry including airframe designers, turbine engine manufacturers, avionics and systems integrators, suppliers and consultants. The Society pursues excellence within the industry by stimulating research, debate and expert opinion.",AHS International--The Vertical Flight Technical Society
149673,"Awarded on the basis of academic excellence, this scholarship helps finance the educational endeavors of undergraduate and graduate students concentrating in real estate appraisal, land economics, real estate or allied fields.",Appraisal Institute Education Trust Education Scholarships,"The AIET supports and funds a vast range of initiatives, from world-renowned resources such as the Y.T. and Louise Lee Lum Library, to programs that will help secure the future of the valuation industry, including research grants and scholarships.",Appraisal Institute Education Trust
149676,Available to enrolled undergraduates who submit a paper on a phase of atmospheric sciences with a statement from a supervisor on the student's original contribution to the work. Minimum 3.0 GPA required. No more than two students from any one institution may enter papers in one contest. Must submit letter from department head or faculty member confirming applicant's undergraduate status and paper's originality. Must be a U.S. citizen.,Father James B. Macelwane Annual Awards,Nonprofit scientific society that serves the atmospheric and related oceanic and hydrologic sciences. It promotes the development and dissemination of information and education on the atmospheric and related oceanic and hydrologic sciences and the advancement of their professional applications.,American Meteorological Society
149677,Award for naval engineering students or students in related disciplines in the final year of an undergraduate program or for one year of graduate study at an accredited institution. Must be full-time student and a U.S. citizen. Award of $3000 for undergraduates and $4000 for graduate students.,American Society of Naval Engineers Scholarship,A society serving the naval engineering community by advancing the knowledge and practice of naval engineering in public and private applications and operations.,American Society of Naval Engineers
149680,"One-time award for students of Armenian descent. Must be an undergraduate in sophomore, junior, or senior years, or graduate student, attending an accredited U.S. institution. Award based on need, merit, and character. Application fee: $15.",Armenian Students Association of America Inc. Scholarships,"The purposes of this association are educational and charitable, in that it shall encourage educational pursuits by Armenians in America and the raising of their intellectual standards, provide financial assistance in the form of scholarships and loans to deserving Armenian students, develop fellowship among them, cultivate in them the spirit of service in the public interest, and acquaint them and the entire American community with Armenian culture.",Armenian Students Association of America Inc.
149684,"Merit award available to students ages 17 to 22 who are current members, children, or grandchildren of members of the Sons of Norway. School transcript required. Academic potential and clarity of study plan is key criterion for award. Minimum 3.0 GPA required.",Astrid G. Cates and Myrtle Beinhauer Scholarship Funds,The foundation is a fraternal benefit society with a focus on preserving and promoting Norwegian culture and heritage.,Sons of Norway Foundation
149686,"Award for undergraduate or graduate study is available to dependent children, grandchildren and spouses of legally blind veterans to include Active Duty legally blinded Armed Forces members. The veteran's blindness may be either service or non-service connected. High school seniors may apply. Applicant must be enrolled or accepted for admission as a full-time student in an accredited institution of higher learning, business, secretarial, or vocational school. Six awards of $2000 each are given.",Kathern F. Gruber Scholarship,"A nonprofit service organization for blind veterans. The organization explores and identifies veterans needing services, linking them to appropriate benefits, training, and job opportunities in both the public and private sectors.",Blinded Veterans Association
149690,"Grants are provided to supplement financial assistance to eligible American Indian/Alaska Native students entering college seeking a Baccalaureate degree. A student must be a member of, or at least one-quarter degree Indian blood descendent of a member of an American Indian tribe who are eligible for the special programs and services provided by the United States through the Bureau of Indian Affairs to Indians because of their status as Indians.",Bureau of Indian Education Grant Program,Bureau provides supplemental financial assistance to eligible American Indian students pursuing an undergraduate degrees.,Bureau of Indian Affairs Office of Indian Education Programs
149692,"Competitive award to high school juniors planning careers in any business or professional field of study which requires a four-year college degree. Award is renewable based on continuing eligibility. All awards are given through local Chapters of the EWI. Applicant must apply through nearest Chapter and live within the Chapter's boundaries. Student must have a sponsoring teacher and school to be considered, and only one applicant per school. For more details visit http://www.ewiconnect.com.",Executive Women International Scholarship Program,Organization promotes educational services through scholarship and grants.,Executive Women International
149693,One-time award for students who are in financial need and have been accepted or are enrolled in an accredited school of nursing. A letter of acceptance into the nursing program or the transcript stating that the applicant is enrolled in the nursing program must be included with the application.,National Society Daughters of the American Revolution Caroline E. Holt Nursing Scholarships,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149694,"One-time award for active members of the Civil Air Patrol to pursue undergraduate, graduate, or trade or technical education. Must be a current CAP member. Significant restrictions apply. Not open to the general public.",Civil Air Patrol Academic Scholarships,"Non-combatant Auxiliary of the USAF with three-sided mission: Cadet Programs, Emergency Services, and Aerospace Education.","Civil Air Patrol, USAF Auxiliary"
149695,Annually recognizes five USBC Youth bowlers for their community involvement and academic achievements.,USBC Earl Anthony Memorial Scholarship,"The national governing body, ensures the integrity and protects the future of the sport, provides programs and services and enhances the bowling experience.",International Bowling Campus Youth Development
149696,Awards available to college seniors enrolled in dairy science courses. Applicants must be nominated by their college or university professor and must intend to continue in the dairy field. A college or university may nominate up to 2 applicants.,NDS Student Recognition Award,"An organization of dairy producers, processors, scientists, students, educators, and others who share a desire to preserve dairy history, recognize past and present dairy leaders and encourage young people to enter the dairy industry and to keep it strong.",National Dairy Shrine
149697,Scholarship of $2000 each year for up to four consecutive years to a graduating high school senior who will have a concentrated study of a minimum of 24 credit hours in American history or American government while in college. United States citizens residing abroad may apply through a Units Overseas chapter.,National Society Daughters of the American Revolution Dr. Aura-Lee A. Pittenger and James Hobbs Pittenger American History Scholarship,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149698,"Need and merit-based award available to graduating high school seniors. Minimum GPA of 3.0 required. Must be daughter of commissioned officer in regular Army, Navy, Coast Guard, Air Force, Marines (active, retired, or deceased). Must submit parent's rank and branch of service. Application can be completed and downloaded from web site, http://www.daughters1894.org.",Daughters of the Cincinnati Scholarship,Organization incorporated in 1894 by women descendants of Revolutionary officers with one of its purposes to advance and encourage investigation and study. To this end a Scholarship Fund was established in 1906.,Daughters of the Cincinnati
149700,"Scholarship available to current DECA or Collegiate DECA members for undergraduate study in marketing education, marketing, entrepreneurship, finance, hospitality or management. Nonrenewable merit-based award for current DECA members based on DECA activities, grades, and leadership.",Harry A. Applegate Scholarship,"DECA prepares emerging leaders and entrepreneurs in marketing, finance, hospitality and management in high schools and colleges around the globe.",DECA (Distributive Education Clubs of America)
149704,Merit-based award for high school seniors planning to major in journalism. Must have won a National Quill and Scroll Writing Award or a Photography or Yearbook Excellence contest. Entry forms available from journalism adviser or Quill and Scroll. Must rank in upper third of class or have a minimum 3.0 GPA.,Edward J. Nell Memorial Scholarship in Journalism,An honorary society for high school journalists founded in 1926 by George H. Gallup and a group of journalism advisers. High school students must meet certain qualifications to be eligible for membership.,Quill and Scroll Foundation
149706,"Applicant must be a registered nurse having prospects of being employed in specific positions in direct relationship to lung and respiratory control in hospitals, clinics, or health departments. This scholarship is for advanced preparation for positions in supervision, administration, or teaching.",Eight & Forty Lung and Respiratory Disease Nursing Scholarship Fund,"A patriotic, mutual-help, war-time veterans organization that upholds and defends the constitution of the United States of America and maintains law and order.",American Legion Eight and Forty
149707,"Scholarship of $1000 awarded to a deserving junior or senior enrolled in an accredited college or university in the United States who is majoring in political science, history, government, or economics.",National Society Daughters of the American Revolution Enid Hall Griswold Memorial Scholarship,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149709,"Available to minority students enrolled in nursing or pre-nursing programs. Awards based on need, scholarship, and health-related activities. Application fee of $10. Send self-addressed stamped envelope with two stamps along with application request. Number of awards varies based on donors.",Breakthrough to Nursing Scholarships for Racial/Ethnic Minorities,The foundation is organized exclusively for charitable and educational purposes. Also this foundation awards scholarships to qualified nursing students.,Foundation of the National Student Nurses' Association
149710,"Merit-based award available to undergraduate students who are legally blind in both eyes. Submit certificate of legal blindness and proof of acceptance at an accredited postsecondary institution, as well as scholarship application, high school or college transcripts and other supporting documents (see directions on www.acb.org). Deadline: February 15.",American Council of the Blind Scholarships,The Council strives to improve the well-being of all blind and visually impaired people by serving as a representative national organization of blind people.,American Council of the Blind
149711,"Scholarships available to those whose family is a member of the Northeastern Loggers' Association or whose family member is an employee of an Industrial or Associate Members of the Northeastern Loggers' Association. Must submit paper on topic of ""What it means to grow up in the forest industry.""",Northeastern Loggers' Association Scholarships,"A regional trade group representing more than 2000 members of the Northeast and Lake States' logging, sawmilling, and forest products community.",Northeastern Loggers' Association Inc.
149712,One-time award for National Student Nurses' Association members and nonmembers enrolled in nursing programs. Graduating high school seniors are not eligible. Send self-addressed stamped envelope with two stamps for application.,Foundation of the National Student Nurses' Association General Scholarships,The foundation is organized exclusively for charitable and educational purposes. Also this foundation awards scholarships to qualified nursing students.,Foundation of the National Student Nurses' Association
149714,"Award for college students who wish to pursue summer studies doing field work, research, or classroom work in the environmental field following their freshman, sophomore, or junior years. Work may award academic credit but should be in addition to required courses.",Elizabeth Gardner Norweb Summer Environmental Studies Scholarship,"The purpose of The Garden Club of America is to stimulate the knowledge and love of gardening, to share the advantages of association by means of educational meetings, conferences and publications.",Garden Club of America
149721,"Applicant must be a full-time student enrolled in an accredited postsecondary educational institution working toward an associate, Bachelor's, or Master's degree. Must demonstrate financial need, academic achievement, service orientation, and writing ability. Must have background, education, and interests indicating preparedness for entering careers in editorial or public relations within the foodservice industry.",International Foodservice Editorial Council Communications Scholarship,"A nonprofit membership association of foodservice communicators that includes writers, editors, public relations and marketing communications professionals, educators, consultants and others working in or with the foodservice media.",International Foodservice Editorial Council
149722,"Scholarships available for Native American students. Proof of reservation registration, college acceptance letter, and financial aid office address required. Merit-based award. Send self-addressed stamped envelope. Must maintain minimum 2.5 GPA.",International Order of the King's Daughters and Sons North American Indian Scholarship,An international and interdenominational organization of Christian men and women dedicated to service in Christ's name. The objects of the Order are the development of spiritual life and the stimulation of Christian activities.,International Order of The King's Daughters and Sons
149724,"Applicants must be low-income women, age 35 or older, who are U.S. citizens or permanent residents of the U.S. pursuing a technical/vocational education, an associate degree, or a first bachelor's degree at a regionally or ACICS accredited college. Applications are available on our web site http://www.rankinfoundation.org/students/application/ from November through March.",Jeannette Rankin Women's Scholarship Fund,Jeannette Rankin Women's Scholarship Fund (JRF) provides scholarships and support for low-income women 35 and older to build better lives through college completion.,Jeannette Rankin Women's Scholarship Fund
149725,Award available to students studying respiratory care at an American Medical Association-approved institution. Preference given to minority students. Must submit letters of recommendation and a paper on a respiratory care topic. Must have a minimum 3.0 GPA.,Jimmy A. Young Memorial Education Recognition Award,"The foundation is dedicated to furthering the art, science, quality, and technology of respiratory care. It is a nonprofit organization involved in supporting research, education, and charitable pursuits.",American Respiratory Care Foundation
149726,"Maximum of eight scholarships are awarded to undergraduate and graduate students who have greater than average financial need. Applicants should be planning a career in nuclear science, nuclear engineering, or a nuclear related field and be enrolled or planning to enroll in a college or university located in the United States, but need not be U.S. citizens.",John and Muriel Landis Scholarship Awards,"A not-for-profit, international, scientific and educational organization. The core purpose of the organization is to promote the awareness and understanding of the application of nuclear science and technology.",American Nuclear Society
149727,"Maximum of four scholarships for students who have completed one year in a course of study leading to a degree in nuclear science, nuclear engineering, or a nuclear-related field and who will be sophomores in the upcoming academic year; and a maximum of twenty one scholarships for students who have completed two or more years and will be entering as juniors or seniors. Must be sponsored by ANS member or branch. Must be U.S. citizen or permanent resident.",American Nuclear Society Undergraduate Scholarships,"A not-for-profit, international, scientific and educational organization. The core purpose of the organization is to promote the awareness and understanding of the application of nuclear science and technology.",American Nuclear Society
149728,"Scholarship available to American students interested in studying Norwegian heritage or modern Norway, or Norwegian students 18 or older interested in studying North American culture. Selection of applicants is based on a 500-word essay, educational and career goals, community service, work experience, and GPA. Must have minimum 3.0 GPA.",King Olav V Norwegian-American Heritage Fund,The foundation is a fraternal benefit society with a focus on preserving and promoting Norwegian culture and heritage.,Sons of Norway Foundation
149729,"Scholarship for students entering freshman year at a Catholic college or university in United States. Applicant must submit Pro Deo and Pro Patria Scholarship application. Must be a member or wife, son, or daughter of a member of the Knights of Columbus. Minimum 3.0 GPA required. See web site for additional information http://www.fofc.org.",John W. McDevitt (Fourth Degree) Scholarships,A Catholic family fraternal service organization that was formed to render financial aid to members and their families.,Knights of Columbus
149733,"A $2500 scholarship awarded for up to four years to well-qualified, deserving sons and daughters of members of the NSDAR. Outstanding recipients will be considered for an additional period of up to four years of study. Must include DAR member number.",National Society Daughters of the American Revolution Lillian and Arthur Dunn Scholarship,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149735,"Scholarship to assist dependents of deceased or 100 percent permanently disabled veterans of service with the 1st Marine Division in furthering their education towards a bachelor's degree. Awarded to full-time, undergraduate students who are attending an accredited college, university, or higher technical trade school, up to a maximum of four years.",First Marine Division Association Scholarship Fund,"The Association seeks to foster, encourage and perpetuate the memory, spirit and comradeship in arms of all the veterans of service with, or in support of the first Marine Division.",First Marine Division Association
149736,"Available to the sons and daughters of active duty, veteran, and deceased Marines, and to the children of qualifying Navy Corpsmen, whose family income does not exceed $96,000. Must submit proof of parent's service. Apply online at mcsf.org and or email Scholarship@mcsf.org for further information.",Marine Corps Scholarship Foundation,"Since 1962, the Marine Corps Scholarship Foundation has been Honoring Marines by Educating Their Children. The Nation's oldest and largest provider of need-based scholarships to military children, the Scholarship Foundation pays particular attention to those students whose parent has been killed or wounded in combat or has demonstrated financial need.","United States Marine Corps Scholarship Foundation, Inc."
149737,"Renewable award for students who are unmarried, dependent sons, daughters or grandchildren of former or current members of Second Marine Division or attached units. Must submit proof of parent's or grandparent's service. Family adjusted gross income must not exceed $75,000. Award is merit-based. Minimum 2.5 GPA required.",Second Marine Division Association Memorial Scholarship Fund,"The organization's aim is to preserve the traditions to commemorate the honors won on the field of battle, and to celebrate with appropriate ceremonies outstanding deeds performed by this organization.",Second Marine Division Association
149738,"Scholarship assistance for children and grandchildren of qualified Third Marine Division Association members (Marine or Navy), or qualified service-connected deceased 3rd Marine Division veterans. For further details visit web site http://www.caltrap.com. Total number of awards varies.",Third Marine Division Association Memorial Scholarship Fund,Fraternal association of former members of Third Marine Division from any period.,"Third Marine Division Association, Inc."
149742,"Awards students with a minimum 3.0 GPA, enrolled in an American Medical Association-approved respiratory care program. Must be U.S. citizen or permanent resident. Need proof of college enrollment. Must submit an original referenced paper on respiratory care. Preference given to Georgia and South Carolina residents. One-time merit-based award of up to $1000, and includes airfare, registration to AARC Congress, and one night's lodging.","Morton B. Duggan, Jr. Memorial Education Recognition Award","The foundation is dedicated to furthering the art, science, quality, and technology of respiratory care. It is a nonprofit organization involved in supporting research, education, and charitable pursuits.",American Respiratory Care Foundation
149743,"Five hundred awards ranging from $1,000 to $12,500 per year, renewable for four years, are allocated nationally by state quota for graduating high school seniors. Based on scholarship, leadership, and financial need. Must be a U.S. citizen pursuing a 4-year degree full-time at an accredited, degree granting U.S. college or university. For more information, visit http://www.elks.org/scholars.",Elks National Foundation Most Valuable Student Scholarship Contest,"A nonprofit charitable organization dedicated to providing a better future for America's youth and building stronger communities. Elks are involved in a wide variety of programs, including scholarships, youth programs, drug education, and veterans services.",Elks National Foundation
149745,Applicants must be sponsored by a member of the National Association of Plumbing-Heating-Cooling Contractors. Must pursue studies in a major related to the plumbing-heating-cooling industry. Visit web site for additional information.,PHCC Educational Foundation Scholarship Program,The PHCC Educational Foundation offers contractor education and student scholarships to elevate the technical and business competence of the plumbing-heating-cooling industry.,Plumbing-Heating-Cooling Contractors Education Foundation
149748,"Merit-based scholarship requires academic excellence and leadership, permanently resides in United States/Puerto Rico, and accredited institution's degree program (in U.S./PR) directed toward financial independence (excludes degrees in religious studies or solely for cultural education). Winner assisted to attend NFB annual convention to receive this award. Membership not required. USA Citizenship is not a requirement, but if the student's home is not in the U.S./PR, then the student is not eligible.","Charles and Melva T. Owen Scholarship for $10,000","Established 1940, having 700-some chapters nationwide and over 50,000 members, the National Federation of the Blind of the United States improves blind peoples' lives through advocacy, education, research, technology, and programs to encourage independence.",National Federation of the Blind (NFB)
149749,"Merit-based award for U.S. citizens, permanent residents, eligible non-citizens or DACA of Hispanic heritage with plans to enroll full time in an accredited U.S. 4 year university in the upcoming academic year. Applicants must have a minimum 3.0 GPA. Must complete FAFSA or state based financial aid (if available). Must include official transcript. Award ranges from $500-$5,000 depending on need. For additional information please go to HSF.net",HSF/General College Scholarship Program,To strengthen America by advancing higher education for Hispanic Americans.,Hispanic Scholarship Fund
149750,"A one-time award available to graduating high school seniors, who are members of the Junior Classical League. Preference is given to students who plan to major in the classics.",National Junior Classical League Scholarship,Foster the study of classical languages in the United States and Canada. Membership is open to any person who is committed to the preservation and advancement of the classical inheritance from Greece and Rome.,American Classical League/National Junior Classical League
149751,"Awards available for entrants ages 13 years and older. Must enter at district and/or state level with home-constructed garment of at least 60 percent wool. Applicant must model garment. National entry fee is $12 for regular contest and $20 for Fashion/Apparel Design students. District and state entry fees may also apply. Complete rules available from State Director, National Coordinator, and online. www.NationalMakeItWithWool.com",National Make It With Wool Competition,"The national organization representing the interests of the 88,000 sheep producers located throughout the United States.",American Sheep Industry Association
149755,"Renewable scholarship for graduating high school seniors. Must be a woman and a current junior member of the American Legion Auxiliary, with a three-year membership history.",American Legion Auxiliary Spirit of Youth Scholarships for Junior Members,"In the spirit of Service, Not Self, the mission of the American Legion Auxiliary is to support The American Legion and to honor the sacrifice of those who serve by enhancing the lives of our veterans, military, and their families, both at home and abroad. For God and Country, we advocate for veterans, educate our citizens, mentor youth, and promote patriotism, good citizenship, peace and security.",American Legion Auxiliary National Headquarters
149756,"Scholarship of $1000 for students who are in financial need and have been accepted or are attending an accredited school of occupational therapy including art, music or physical therapy. A letter of acceptance into the occupational therapy program or the transcript stating the applicant is in the occupational therapy program must be included with the application.",National Society Daughters of the American Revolution Occupational Therapy Scholarship,"A lineage society and volunteer women's service organization that is dedicated to promoting patriotism, preserving American history, and securing America's future through better education for children. Awards scholarships to students showing dedication to the pursuit of an undergraduate degree in one of the following areas: history, political science, economics, government, law, business, education, nursing, and more.",National Society Daughters of the American Revolution
149757,One-time award of $500 to $1000 available to undergraduate students. Applicants must maintain a 3.0 GPA and have declared a major in accounting. Must submit an appraisal form and transcripts in addition to application. Must be U.S. or Canadian citizen attending an accredited U.S. school.,National Society of Accountants Scholarship,"The organization provides tax preparation, accounting, auditing, financial and estate planning, and management services.",National Society of Accountants
149759,"Scholarship and/or zero interest loan for full-time undergraduate students enrolled in accredited colleges or universities. Must be a spouse or child of a Sailor or Marine who is: active duty, retired, or deceased on active duty or after retirement. Must be 23 years of age or younger. Must have minimum 2.0 GPA.",NMCRS Education Assistance Program,"A private, nonprofit, volunteer, service organization. They are committed to ensure that all available resources are used to assist personnel of the naval services-active, retired, and deceased, and their eligible family members-to achieve financial self-achieve financial self-sufficiency and find solutions to emergency needs.",Navy-Marine Corps Relief Society
149765,Award available to students entering freshman year at a Catholic university or college in United States. Applicant must be a member or child of a member of Knights of Columbus or Columbian Squires. Scholarships are awarded on the basis of academic excellence. Minimum 3.0 GPA required. See web site for additional information http://www.kofc.org.,Fourth Degree Pro Deo and Pro Patria Scholarships,A Catholic family fraternal service organization that was formed to render financial aid to members and their families.,Knights of Columbus
149769,One-time award of $2000 available for undergraduate or graduate study in theoretical photogrammetry. Applicant must supply a sample of work in photogrammetry and a statement of plans for future study in the field. Must be a member of ASPRS.,Robert E. Altenhofen Memorial Scholarship,"The mission of the society is to advance knowledge and improve understanding of mapping sciences; and to promote the responsible applications of photogrammetry, remote sensing, geographic information systems (GIS), and supporting technologies.","ASPRS, The Imaging and Geospatial Information Society"
149770,"Global grant scholarships fund international graduate coursework or research for one to four years. Fields of study: peace and conflict prevention/resolution, disease prevention and treatment, water and sanitation, maternal and child health, basic education and literacy and economic and community development. Contact your local Rotary club for more information.",The Rotary Foundation Global Grant Scholarships,"The mission of The Rotary Foundation is to enable Rotarians to advance world understanding, goodwill, and peace through the improvement of health, the support of education, and the alleviation of poverty.",The Rotary Foundation of Rotary International
149773,"Public, private, or home-school students in the U.S., Canada, or American schools abroad enrolled in grades 7�12 are eligible to participate in the Scholastic Awards in 29 categories of art and wiring. The Scholastic Awards are adjudicated without knowledge of the artists/writers identity using three criteria: originality, technical skill, and emergence of personal voice or vision.",Scholastic Art and Writing Awards,The Alliance for Young Artists and Writers is a 501(c)(3) nonprofit organization whose mission is to identify students with exceptional artistic and literary talent and present their remarkable work to the world through the Scholastic Art and Writing Awards.,Alliance for Young Artists and Writers Inc.
149774,"Students currently enrolled in grades 7 to 12 who attend a public, private, parochial, or home school in the United States, U.S. territories, or U.S. sponsored schools abroad may apply.",Scholastic Art and Writing Awards-Writing Section Scholarship,The Alliance for Young Artists and Writers is a 501(c)(3) nonprofit organization whose mission is to identify students with exceptional artistic and literary talent and present their remarkable work to the world through the Scholastic Art and Writing Awards.,Alliance for Young Artists and Writers Inc.
149775,Award available to children or grandchildren of current or former members of the Naval Construction Force (Seabees) or Naval Civil Engineer Corps. Not available for graduate study or for great-grandchildren of Seabees.,Seabee Memorial Association Scholarship,A nonprofit organization established to provide children and grandchildren of Seabees with financial assistance towards a college diploma to prepare them for a brighter future.,"Seabee Memorial Scholarship Association, Inc."
149777,"The Actuarial Diversity Scholarship promotes diversity through an annual scholarship program for Black/African American, Hispanic, Native North American and Pacific Islander students. The scholarship award recognizes and encourages the academic achievements of full-time undergraduate students pursuing a degree that may lead to a career in the actuarial profession.",Actuarial Diversity Scholarship,"The Actuarial Foundation develops, funds and executes, education and scholarship programs that serve the public and the profession by harnessing the talents and resources of actuaries.",The Actuarial Foundation
149779,"Scholarship for daughters or granddaughters of career warrant or commissioned officer in the U.S. Army who is on active duty; retired from active duty after 20 years of service; medically retired before 20 years of active service; died while on active duty or died after retiring from active duty. Send the following information to request an application: applicant's name, name of officer, rank, component (Active, Reserve, Retired), dates of active duty service, and relationship to the applicant. Send information only, no documentation at this time. Send to: Mary P. Maroney, DUSA Scholarship Chairman, 11804 Grey Birch Pl., Reston, VA 20191. Application available November 1 - March 1.",Society of Daughters of the United States Army Scholarships,"An organization of women, children of Regular and Reserve Army warrant and commissioned officers, who wish to commemorate the service of their fathers and mothers to our country.",Society of Daughters of the United States Army
