ID,ACNA,EMPNA,ETHNA,NATNA,RELNA,HOBNA,CIVNA,APPPH,APPDRIVE,APPPORTF,GRANT,FELLOW,POSTGRAD,UNIV,AGE_FROM,AGE_TO,CITIZEN0,CITIZEN1,CITIZEN2,CITIZEN3,CITIZEN4,CITIZEN5,AP_SOC,AP_FNAM,AP_INIT,AP_LNAM,AP_TITLE,AP_PHONE,AP_FAX,AP_EMAIL,ADDR1,ADDR2,CITY,ST,ZIPCODE,COUNTRY,FLOAN,USA_Y,USA_N,CAN_Y,CAN_N,FRN_Y,FRN_N,APPRESUME,APPL_OTHER_TEXT,R_911,AWDS_VARIES,AMNT_VARIES,NUMAPP,COMM_SERV,APPL_ONLINE,APPL_ONLINE_URL
149667,,,,,,,,,,,,,,X,,,,,,,,,,Toni,,O'Hara,Lands & Conservation Office Administrator,,,tohara@rmef.org,5705 Grant Creek,PO Box 8249,Missoula,MT,59808,,,X,,X,,,X,,,,,,36,,,
149669,,,,,,,,,,,,,X,X,,,U.S.,,,,,,Mr.,Jay,,Kasper,Associate Executive Director,630-9944247,630-3518490,jaykasper@adaausa.org,140 N Bloomingdale Rd,,Bloomingdale,IL,60108,,,X,,,X,,X,,,,,,14,,,
149670,,,,,,,,,,,,,X,X,,,,,,,,,Ms.,Holly,Soo-Jung,Cafferelli,VFF Scholarship Coordinator,703-684-6777,703-739-9279,hcafferelli@vtol.org,217 North Washington Street,,Alexandria,VA,22314,,,X,,X,,X,,X,,,,,64,,,
149673,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Sarah,,Walsh,Coordinator,312-335-4133,312-335-4134,educationtrust@appraisalinstitute.org,200 West Madison,Suite 1500,Chicago,IL,60606,,,X,,,X,,X,X,,,,,5,,,
149676,,,,,,,,,,,,,,X,,,,,,,,,,Donna,,Fernandez,Development and Student Program Manager,,,dfernandez@ametsoc.org,45 Beacon Street,,Boston,MA,02108-3693,,,X,,X,,,X,,,,,,5,,,
149677,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,Erica,,Cox,Senior Manager for Education and Business Development,703-836-6727,703-836-7491,asnehq@navalengineers.org,1452 Duke St,,Alexandria,VA,22314,,,X,,,X,,X,,,,,,,,,
149680,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Nathalie,,Yaghoobian,ASA Scholarship Committee,401-461-6114,401-461-6112,asa@asainc.org,333 Atlantic Avenue,,Warwick,RI,2888,,,X,,,X,,X,,,,,,,,,
149684,,,,,,,,X,,,,,,X,17,22,U.S.,,,,,,,,,,Scholarship Coordinator,612-827-3611,,foundation@sofn.com,1455 West Lake Street,,Minneapolis,MN,55408-2666,,,X,,,X,,X,,,,,,30,X,X,http://www.sonsofnorway.com/foundation
149686,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Scholarship Coordinator,202-371-8880,,bva@bva.org,125 N. West St.,Suite 300,Alexandria,VA,22314,,,X,,,X,,X,,,,,,35,,,
149690,,,,,,,,,,,X,,,X,,,U.S.,,,,,,,Paulina,,Bell,Office Automation Assistant,202-208-6123,202-208-3312,,"1849 C Street, NW, MS 3609-MIB",,Washington,DC,20240-0001,,,X,,,X,,X,,,,,,,,,
149692,,,,,,,,X,,,,,,X,15,17,,,,,,,Mr.,James,L.,Pollan,Executive Director and Trustee,,,stuhrstudents@earthlink.net,"515 South 700 East, Suite 2A",,Salt Lake City,UT,84102,,,X,,X,,X,,,,,,,,X,,
149693,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149694,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,Kelly,,Easterly,Assistant Program Manager,334-953-8640,334-953-6699,cpr@capnhq.gov,"105 South Hansell Street, Building 714",,Maxwell Air Force Base,AL,36112-6332,,,X,,,X,,X,X,,,,,,,,
149695,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Roger,,Noordhoek,Senior Director of Youth Marketing,800-514-BOWL,,contactus@ibcyouth.com,621 Six Flags Drive,,Arlington,TX,76011,,,X,,,X,,X,,,,,,83,X,,
149696,,,,,,,,X,,,,,,X,,,,,,,,,,,,,Executive Director,,,info@dairyshrine.org,PO Box 725,,Denmark,WI,54208,,,X,,X,,,X,,,,,,14,,,
149697,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149698,,,,,,,,,,,,,,X,,,U.S.,,,,,,Mrs.,Evelyn,,Donatelli,Scholarship Administrator,212-991-9945,,scholarships@daughters1894.org,"271 Madison Avenue, #1408",,New York,NY,10016,,,X,,,X,,X,,,,,,,,,
149700,,,,,,,,,,,,,,X,,,,,,,,,,Cameron,,Brown,Corporate and External Affairs Assistant,703-860-5000,,cameron_burrell@deca.org,1908 Association Drive,,Reston,VA,20191,,,X,,X,,X,,,,,,,2300,,,
149704,,,,,,,,X,,,,,,X,,,U.S.,,,,,,,JEFFREY,,BROWNE,Executive Director,319-335-3457,,quill-scroll@uiowa.edu,"School of Journalism, W111 AJB",,Iowa City,IA,52242-1528,,,X,,,X,,X,,,,,,30,,,
149706,,,,,,,,,,,,,X,X,,,U.S.,,,,,,,Jason,,Keed,Assistant Director,317-630-1323,317-630-1369,c&y@legion.org,700 North Pennsylvania Street,PO Box 1055,Indianapolis,IN,46206-1055,,,X,,,X,,X,,,,,,,,,
149707,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lakeisha,,Graham,"Manager, Office of the Reporter General",202-628-1776,202-879-3348,nsdarscholarships@dar.org,"1776 D Street, NW",,Washington,DC,20006-5303,,,X,,,X,,X,,,,,,,,,
149709,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lauren,,Sperle,FNSNA Staff Specialist,718-210-0705,718-797-1186,lauren@nsna.org,"45 Main Street, Suite 606",,Brooklyn,NY,11201,,,X,,,X,,X,,,,,,,,,
149710,,,,,,,,,,,,,X,X,,,U.S.,,,,,,,Dee,,Theien,Scholarship Coordinator,612-332-3242,,info@acb.org,6300 Shingle Creek Pkwy,Suite 195,Brooklyn Center,MN,55430,,,X,,,X,,X,,,,,,75,X,,
149711,,,,,,,,,,,,,,X,,,,,,,,,,Mona,,Lincoln,"Director, Training and Safety",315-369-3078,315-369-3736,mona@northernlogger.com,PO Box 69,,Old Forge,NY,13420-0069,,,X,,X,,,X,,,,,,40,,,
149712,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Lauren,,Sperle,FNSNA Staff Specialist,718-210-0705,718-797-1186,lauren@nsna.org,"45 Main Street, Suite 606",,Brooklyn,NY,11201,,,X,,,X,,X,,,,,,,,,
149714,,,,,,,,,,,,,,X,,,U.S.,,,,,,,,,,Garden Club of America,212-753-8287,,scholarshipapplications@gcamerica.org,14 East 60th Street,,New York,NY,10022-1006,,,X,,,X,,X,,,,,,,,,
149721,,,,,,,,,,,,,X,X,,,,,,,,,,Jen,,Mac Kay,Executive Director,845-723-4434,,ifec@ifeconline.com,PO Box 581,,Pleasant Valley,NY,12569,,,X,,X,,X,,,,,,,25,,,
149722,,,,,,,,,,,,,,X,,,,,,,,,,,,,Scholarship Committee,312-799-8015,,lillyfellowship@poetryfoundation.org,PO Box 1017,,Chautauqua,NY,14722-1017,,,X,,X,,,X,,written documentation of reservation registration,,,,,,,
149724,,,,,,,,,,,,,,X,35,,U.S.,,,,,,,LaTrena,,Stokes,Program Scholarship Manager,706-208-1211,,info@rankinfoundation.org,"1 Huntington Road, #701",,Athens,GA,30606,,,X,,,X,,X,,,,,,1000,,,
149725,,,,,,,,,,,,,,X,,,U.S.,,,,,,,Jill,,Nelson,Administrative Coordinator,972-243-2272,972-484-2720,info@arcfoundation.org,"9425 North MacArthur Boulevard, Suite 100",,Irving,TX,75063-4706,,,X,,,X,,X,,paper on respiratory care topic,,,,,,,
